,apart_id,palabras_comunes
103,-6039053190987211105,"{'desayuno': 66, 'lugar': 58, 'juan': 57, 'casa': 52, 'karina': 44, 'anfitriones': 44, 'vistas': 34, 'naturaleza': 33, 'cabaña': 32, 'increíble': 31}"
104,-6019539889791494016,"{'lugar': 48, 'naturaleza': 42, 'cabaña': 37, 'agradable': 25, 'bien': 23, 'entorno': 20, 'anfitriones': 17, 'tranquilo': 16, 'margaux': 16, 'noche': 15}"
105,-5997056852187655708,"{'casa': 47, 'vistas': 34, 'alba': 26, 'unas': 14, 'bien': 12, 'sido': 11, 'necesario': 10, 'zona': 10, 'segovia': 9, 'tranquila': 8}"
106,-5971741251524455209,"{'casa': 22, 'paola': 13, 'zona': 8, 'agradable': 7, 'bien': 7, 'cocina': 5, 'pasar': 5, 'necesario': 5, 'cómoda': 5, 'equipada': 4}"
107,-5963189674589710259,"{'casa': 21, 'bien': 10, 'carlos': 7, 'anfitriones': 7, 'alojamiento': 7, 'tranquilo': 6, 'amables': 6, 'anfitrión': 6, 'espacioso': 6, 'bonita': 5}"
108,-5903490820418622970,"{'casa': 24, 'bien': 21, 'alojamiento': 18, 'patrick': 16, 'agradable': 15, 'vistas': 10, 'pirineos': 10, 'recomiendo': 10, 'anfitrión': 10, 'limpio': 10}"
109,-5891882700775731040,"{'casa': 12, 'antonio': 10, 'bien': 7, 'amable': 5, 'mejor': 4, 'perfecto': 4, 'buena': 3, 'recomendable': 3, 'anfitrión': 3, 'momento': 3}"
110,-5890951023578523978,"{'casa': 19, 'lugar': 7, 'alojamiento': 6, 'tranquilo': 5, 'elsa': 5, 'gran': 5, 'bonita': 5, 'sido': 5, 'rui': 5, 'fotos': 5}"
111,-5890186553866836606,"{'apartamento': 20, 'ubicación': 11, 'excelente': 9, 'playa': 8, 'vistas': 7, 'benidorm': 6, 'cerca': 6, 'bien': 6, 'perfecto': 5, 'aire': 5}"
112,-5793714671435329275,"{'bien': 33, 'chalet': 23, 'christine': 22, 'cabaña': 17, 'vistas': 16, 'situado': 12, 'semana': 11, 'cerca': 11, 'niños': 10, 'vista': 10}"
113,-5778558186671713096,"{'cabaña': 51, 'lugar': 40, 'ana': 38, 'angelo': 35, 'sitio': 33, 'desconectar': 31, 'animales': 28, 'atentos': 23, 'anfitriones': 22, 'si': 22}"
114,-5768439578340626636,"{'casa': 22, 'lugar': 16, 'maría': 14, 'esther': 14, 'alojamiento': 14, 'bien': 13, 'agradable': 11, 'limpio': 11, 'amable': 9, 'zona': 9}"
115,-5731950999808264088,"{'apartamento': 52, 'edificio': 44, 'pequeño': 43, 'lugar': 30, 'roja': 25, 'terraza': 25, 'bien': 24, 'noche': 23, 'estudio': 21, 'muralla': 21}"
116,-5700885115754872219,"{'apartamento': 15, 'bien': 8, 'sylvain': 7, 'vistas': 6, 'axelle': 6, 'situado': 5, 'vista': 5, 'agradable': 4, 'gran': 4, 'proximidad': 4}"
117,-5676213435293024423,"{'casa': 48, 'carlos': 34, 'lugar': 27, 'bien': 21, 'jacuzzi': 18, 'piscina': 17, 'gracias': 15, 'cabaña': 14, 'anfitriones': 13, 'ana': 12}"
118,-5641397998359705652,"{'bien': 13, 'apartamento': 11, 'amable': 11, 'jose': 10, 'recomendable': 9, 'súper': 9, 'anfitrión': 9, 'limpio': 8, 'genial': 8, 'anfitriones': 7}"
119,-5623041931914936386,"{'anfitrión': 4, 'atento': 3, 'bien': 3, 'apartamento': 3, 'zona': 2, 'mejor': 2, 'jordi': 2, 'ubicación': 2, 'buena': 2, 'conocíamos': 1}"
120,-5614431838070825263,"{'habitación': 11, 'playa': 11, 'casa': 9, 'bien': 7, 'brizseida': 6, 'mejor': 6, 'minutos': 6, 'baño': 6, 'ubicación': 6, 'hija': 5}"
121,-5592803207044546307,"{'apartamento': 17, 'vista': 11, 'vistas': 11, 'playa': 10, 'alojamiento': 9, 'bien': 7, 'goize': 7, 'ubicación': 6, 'lugar': 6, 'equipado': 5}"
122,-5575624506227615145,"{'apartamento': 18, 'vistas': 6, 'bonito': 6, 'lugar': 6, 'bien': 6, 'solo': 6, 'increíble': 5, 'vista': 5, 'limpio': 4, 'aparcamiento': 4}"
123,-5575370951967529092,"{'casa': 26, 'rosario': 17, 'casita': 15, 'desconectar': 11, 'charo': 9, 'lugar': 9, 'si': 8, 'amable': 8, 'detalles': 8, 'volveremos': 8}"
124,-5574663502272965298,"{'gustavo': 64, 'lugar': 59, 'tranquilo': 33, 'casa': 32, 'naturaleza': 29, 'anfitrión': 28, 'amable': 25, 'espacio': 24, 'acogedor': 23, 'bien': 23}"
125,-5554226644630710958,"{'apartamento': 20, 'vistas': 11, 'vista': 10, 'bien': 10, 'terraza': 9, 'agradable': 9, 'alojamiento': 8, 'equipado': 7, 'pie': 7, 'situado': 7}"
126,-5529809867933441290,"{'patricia': 9, 'casa': 7, 'bien': 5, 'anfitriona': 4, 'gracias': 3, 'habitación': 3, 'recomiendo': 3, 'villanueva': 3, 'agradable': 2, 'amable': 2}"
127,-5497176614030964593,"{'vistas': 30, 'casa': 15, 'terraza': 12, 'apartamento': 11, 'lugar': 9, 'playa': 9, 'alojamiento': 8, 'gracias': 8, 'jacuzzi': 8, 'sol': 7}"
128,-5492833076100608393,"{'apartamento': 63, 'ubicación': 33, 'playa': 27, 'vistas': 26, 'limpio': 20, 'vista': 19, 'bien': 19, 'excelente': 17, 'gran': 15, 'leo': 12}"
